candle_id,start_time,stop_time,session_time,start_temp,stop_temp,start_rh,stop_rh,start_dp,stop_dp,session_id
4,2023-04-02 15:23:00,2023-04-02 17:01:00,1.6,68.6,74.4,55.6,46.2,52.1,52.3,56
4,2023-04-03 20:55:00,2023-04-03 23:08:00,2.2,71.2,79.6,52.5,42.9,52.9,55,57
5,2023-04-09 13:41:00,2023-04-09 18:31:00,4.8,72,74.7,62.3,56.3,58.4,58.1,58
5,2023-04-10 20:57:00,2023-04-10 23:35:00,2.6,72,75.6,60,55.5,58.5,59.9,59
5,2023-04-11 20:47:00,2023-04-11 23:59:00,3.2,72,75,56.9,52.9,55.9,56.7,60
5,2023-04-13 21:05:00,2023-04-13 23:13:00,2.1,71.5,76.1,54.6,48.7,54.3,55.3,61
5,2023-04-16 12:51:00,2023-04-16 17:05:00,4.2,72.7,79.5,60,45.3,58,56.5,62
5,2023-04-20 21:01:00,2023-04-20 23:38:00,2.6,71.7,77.9,54.4,50.2,54.4,57.9,63
5,2023-04-24 20:44:00,2023-04-24 23:40:00,2.9,74.9,78.7,54.6,50.5,57.5,58.7,64
5,2023-04-25 21:09:00,2023-04-25 23:31:00,2.4,71.4,77.5,57.2,48.9,55.4,56.8,65
5,2023-05-11 21:17:00,2023-05-11 23:28:00,2.2,71.3,78.5,52.6,46.4,53,56.2,66
5,2023-08-24 21:35:00,2023-08-24 23:33:00,2,72.6,70.7,43,46.9,48.9,49.4,67
5,2023-09-13 21:07:00,2023-09-13 23:57:00,2.8,69.7,77,50.7,43.7,50.6,53.2,68
5,2023-10-01 15:11:00,2023-10-01 20:21:00,5.2,69.9,70.9,56.5,49.1,53.8,50.8,69
5,2023-10-02 15:35:00,2023-10-02 17:57:00,2.4,70.6,71,47.2,47.3,49.5,49.9,70
5,2023-10-08 13:04:00,2023-10-08 17:29:00,4.4,71.6,74.9,59.3,46.8,56.7,53.2,71
5,2023-10-30 13:07:00,2023-10-30 18:06:00,5,67.2,69.7,52.2,50.7,49.1,50.6,72
5,2023-11-11 13:01:00,2023-11-11 20:22:00,7.3,69.4,71.4,59.2,56.7,54.6,55.2,73
5,2023-11-27 16:16:00,2023-11-27 18:15:00,2,73.6,73.8,45.3,44.4,51.1,50.8,74
5,2023-12-11 12:12:00,2023-12-11 17:43:00,5.5,72.1,74.4,39.4,40.3,46,48.7,75
5,2024-01-06 13:37:00,2024-01-06 16:31:00,2.9,68.8,74.7,52.5,41.4,50.7,49.6,76
5,2024-01-14 11:23:00,2024-01-14 14:27:00,3.1,62,72.9,35,30.5,34,40.1,77
5,2024-01-21 15:16:00,2024-01-21 18:28:00,3.2,60.9,71,38.5,31.9,35.5,39.6,78
6,2023-12-08 17:26:52,2023-12-08 20:24:58,3.0,72.4,73.2,57.2,54.9,56.4,56,79
6,2023-12-11 18:55:40,2023-12-11 22:44:43,3.8,75.3,77.1,39.7,41,49.1,46.2,80
6,2024-01-15 18:15:59,2024-01-15 22:24:12,4.1,70.4,72.1,29.4,22.2,36.7,31.4,81
6,2024-01-16 17:47:46,2024-01-16 20:56:22,3.1,71,71.1,19.9,19,27.7,26.7,82
6,2024-01-20 19:29:08,2024-01-20 23:46:37,4.3,69.2,71.9,22.3,21.1,29,29.9,83
6,2024-01-26 19:13:20,2024-01-26 22:04:58,2.9,69.3,72.6,48.9,44,49.3,49.5,84
6,2024-03-18 18:36:21,2024-03-18 21:04:13,2.5,70.4,73.1,46,45.8,48.6,51,85
6,2024-04-08 17:58:35,2024-04-08 21:10:53,3.2,73.1,74.9,51.3,44.7,54.1,51.9,86
6,2024-04-17 19:52:49,2024-04-17 22:12:34,2.3,76,74,50.5,49.4,56.2,53.8,87
6,2024-04-21 19:53:28,2024-04-21 23:09:09,3.3,71.4,74.2,56.3,52.6,55,55.7,88
6,2024-05-22 19:41:14,2024-05-22 22:06:15,2.4,76,75.7,45.4,45,53.3,52.8,89
6,2024-06-02 14:42:10,2024-06-02 18:46:15,4.1,70.1,75.6,56.3,49.2,53.8,55.2,90
6,2024-06-03 10:46:50,2024-06-03 15:16:38,4.5,72.1,77.6,55.7,50,55.4,57.5,91
6,2024-06-10 11:40:27,2024-06-10 15:35:35,3.9,73.2,74.6,56.4,45.3,56.8,52,92
7,2023-12-19 17:57:29,2023-12-19 22:04:11,4.1,70,70.9,44.4,45,47.4,48.5,93
7,2023-12-23 11:00:44,2023-12-23 14:25:27,3.4,71.9,73.8,62.1,59.6,58.2,58.9,94
7,2024-01-01 17:00:10,2024-01-01 23:54:51,6.9,69.8,71.2,40.2,35.2,44.5,42.3,95
7,2024-01-13 19:10:57,2024-01-13 22:13:16,3.0,69.9,70.4,35.8,36.4,41.5,42.5,96
7,2024-01-29 18:34:46,2024-01-29 22:13:33,3.6,70.7,71.9,40.6,40.4,45.6,46.6,97
7,2024-01-31 17:06:11,2024-01-31 19:46:30,2.7,71,72.9,41.6,41.2,46.6,48,98
7,2024-02-10 17:04:02,2024-02-10 19:20:16,2.3,72,73.2,59.2,56.7,57,56.9,99
7,2024-02-11 17:07:59,2024-02-11 22:12:53,5.1,70.2,72.4,53.2,47.7,52.4,51.5,100
7,2024-02-17 19:13:10,2024-02-17 22:51:10,3.6,69.9,71.9,38,35,43.1,42.7,101
7,2024-03-08 19:29:45,2024-03-08 22:30:21,3.0,72.8,73.9,46.7,46.9,51.2,52.3,102
7,2024-03-11 14:19:12,2024-03-11 17:00:22,2.7,71.2,76.9,44.9,40.7,48.7,51.2,103
7,2024-05-16 18:09:37,2024-05-16 18:20:04,0.2,75.2,74.4,53.5,54.3,57.2,56.8,104
7,2024-05-23 18:44:59,2024-05-23 21:53:08,3.1,73.4,74.8,48,45.3,52.5,52.2,105
7,2024-06-06 18:02:38,2024-06-06 22:07:37,4.1,72.9,74.5,50.1,42.7,53.2,50.4,106
7,2024-07-05 7:45:45,2024-07-05 16:36:22,8.8,74.6,74.8,56.4,42.1,58.1,50.2,107
7,2024-07-23 14:31:02,2024-07-23 18:25:18,3.9,74.8,75.3,48.8,47.2,54.2,53.7,108
7,2024-08-29 13:30:09,2024-08-29 22:31:58,9.0,75.2,75.1,45.5,41.4,52.8,50.1,109
8,2024-01-04 17:53:30,2024-01-04 22:12:34,4.3,70.7,71,38.8,43,44.4,47.4,110
8,2024-01-08 18:35:14,2024-01-08 21:48:15,3.2,69.3,71.3,43.9,42.1,46.4,47.1,111
8,2024-01-11 19:11:11,2024-01-11 21:38:54,2.5,71.3,74.6,45.7,43.2,49.3,50.8,112
8,2024-02-07 20:04:02,2024-02-07 23:59:38,3.9,71.2,73.1,49.4,50.2,51.3,53.4,113
8,2024-04-04 19:16:11,2024-04-04 21:56:59,2.7,73,75.1,47.6,45.2,51.9,52.4,114
8,2024-11-14 17:29:03,2024-11-14 20:29:56,3.0,75,74.5,46.8,43.8,53.3,51,115
8,2025-01-09 17:17:21,2025-01-09 23:04:41,5.8,69.2,71.4,33.4,33.1,39.2,40.9,116
8,2025-01-10 18:25:52,2025-01-10 23:03:24,4.6,70,71.3,34.4,33.4,40.6,41,117
8,2025-01-16 17:16:06,2025-01-16 20:49:35,3.6,70,72.7,35,33.7,41.1,42.5,118
8,2025-01-22 10:21:42,2025-01-22 16:39:27,6.3,71.7,81,33.3,24.8,41.2,41.6,119
8,2025-01-26 15:27:38,2025-01-26 18:10:31,2.7,71.6,73.2,43.9,38.7,48.4,46.6,120
8,2025-01-28 9:13:40,2025-01-28 15:44:18,6.5,69.8,73.4,49.5,38.2,50,46.4,121
9,2024-01-29 14:24:37,2024-01-29 18:26:41,4.0,67.7,72,46.9,44.8,46.8,49.4,122
9,2024-02-03 12:16:30,2024-02-03 17:49:25,5.5,69.6,75.1,63.2,53,56.6,56.8,123
9,2024-02-04 14:02:24,2024-02-04 18:15:31,4.2,68.7,72.5,53.9,47.8,51.3,51.6,124
9,2024-02-05 14:00:37,2024-02-05 18:07:20,4.1,68.9,73,50.7,47.3,49.9,51.8,125
9,2024-02-16 12:22:32,2024-02-16 16:59:36,4.6,72.1,71.2,58.1,47.8,56.6,50.4,126
9,2024-02-17 11:32:03,2024-02-17 17:03:36,5.5,65,71.5,53.3,42.6,47.6,47.5,127
9,2024-02-23 20:05:22,2024-02-23 23:47:01,3.7,72.3,73.9,48.7,50.4,51.9,54.3,128
9,2024-02-26 13:31:05,2024-02-26 17:40:27,4.2,72.9,74.9,55.1,47.3,55.8,53.5,129
9,2024-03-17 14:58:08,2024-03-17 18:23:52,3.4,72.9,74.6,64.4,57.8,60.1,58.7,130
9,2024-03-31 15:12:31,2024-03-31 17:51:51,2.7,71,73.3,62.2,54,57.4,55.7,131
9,2024-04-28 13:36:11,2024-04-28 17:59:02,4.4,74.3,73.7,59.4,54.7,59.2,56.4,132
9,2024-05-27 10:55:52,2024-05-27 21:29:26,10.6,71.6,74,57.9,49.1,56,53.7,133
10,2024-11-17 14:37:53,2024-11-17 18:40:25,4.0,74.9,71.4,58.8,45.5,59.5,49.2,134
10,2024-11-27 18:12:46,2024-11-27 22:11:47,4.0,72.8,73.4,49.8,48.5,53,52.9,135
10,2025-01-31 19:20:33,2025-01-31 22:08:19,2.8,71,71.7,43.7,43.7,47.7,48.4,136
10,2025-02-07 9:46:26,2025-02-07 16:00:38,6.2,73.3,77.1,53.8,49.5,55.5,56.7,137
10,2025-02-15 14:12:22,2025-02-15 20:22:14,6.2,70,75.2,51.9,49.1,51.5,54.8,138
10,2025-02-16 15:28:48,2025-02-16 19:48:40,4.3,70.9,71.5,51.2,44,51.9,48.4,139
10,2025-03-16 19:21:20,2025-03-16 23:50:46,4.5,76,73.8,48.4,47,55.1,52.2,140
10,2025-03-26 10:21:12,2025-03-26 17:21:47,7.0,74.1,79.6,55.1,41.1,57,53.9,141
10,2025-03-28 9:25:50,2025-03-28 13:03:26,3.6,72.4,77.8,57.6,49.4,56.6,57.3,142
10,2025-03-30 15:24:52,2025-03-30 18:03:26,2.6,73.9,78.9,56.5,48.4,57.4,57.8,143
10,2025-04-06 15:53:52,2025-04-06 17:46:38,1.9,69.9,73.6,53.4,47.5,52.2,52.6,144
10,2025-04-08 9:22:53,2025-04-08 19:44:31,10.4,68.9,77.2,50.9,38.1,50,49.7,145
